srcStateName,srcSubDistrictName,srcYear,Government Cold Storages available,Government Cold Storages Capacity,Private Cold Storages available,Private Cold Storages Capacity,Total Number of Cold Storages,Total Capacity of Cold Storages ,srcDistrictName,YearCode,Year
Karnataka,Sirivara,2019-20,,,,,0,0,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sirsi,2019-20,0.0,0.0,3.0,861.0,3,861,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Somawarpet,2019-20,,,,,0,0,KODAGU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sonduru,2019-20,,,,,0,0,BALLARI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Soraba,2019-20,,,,,0,0,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sringeri,2019-20,,,,,0,0,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Srinivaspura,2019-20,0.0,0.0,1.0,2000.0,1,2000,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Srirangapatna,2019-20,,,,,0,0,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sulya,2019-20,,,,,0,0,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Talikote,2019-20,,,,,0,0,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Tarikere,2019-20,,,,,0,0,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Thirthahalli,2019-20,,,,,0,0,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Tikota,2019-20,0.0,0.0,1.0,4000.0,1,4000,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Tiptur,2019-20,0.0,0.0,1.0,5.0,1,5,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,T.Narasipura,2019-20,0.0,0.0,0.0,0.0,0,0,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
