ROWID,Country,State LGD Code,State,District LGD Code,District,Sub-District LGD Code,Sub-District,SourceYear,Government Cold Storages available,Government Cold Storages Capacity,Private Cold Storages available,Private Cold Storages Capacity,Total Number of Cold Storages,Total Capacity of Cold Storages ,YearCode,Year
2,India,29,Karnataka,547,Shivamogga,5517,Shikarpur,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
50,India,29,Karnataka,547,Shivamogga,5518,Hosanagara,2019-20,0.0,0.0,1.0,4400.0,1,4400,2019,"Financial Year (Apr - Mar), 2019"
118,India,29,Karnataka,547,Shivamogga,5519,Tirthahalli,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
116,India,29,Karnataka,547,Shivamogga,5520,Shivamogga,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
115,India,29,Karnataka,547,Shivamogga,5521,Bhadravati,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
16,India,29,Karnataka,548,Tumakuru,5532,Chiknayakanhalli,2019-20,0.0,0.0,0.0,0.0,0,0,2019,"Financial Year (Apr - Mar), 2019"
25,India,29,Karnataka,548,Tumakuru,5533,Sira,2019-20,1.0,5.0,0.0,0.0,1,5,2019,"Financial Year (Apr - Mar), 2019"
121,India,29,Karnataka,548,Tumakuru,5534,Pavagada,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
120,India,29,Karnataka,548,Tumakuru,5535,Madhugiri,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
119,India,29,Karnataka,548,Tumakuru,5536,Koratagere,2019-20,,,,,0,0,2019,"Financial Year (Apr - Mar), 2019"
43,India,29,Karnataka,548,Tumakuru,5537,Tumakuru,2019-20,0.0,0.0,2.0,2360.0,2,2360,2019,"Financial Year (Apr - Mar), 2019"
30,India,29,Karnataka,548,Tumakuru,5538,Gubbi,2019-20,2.0,20.0,0.0,0.0,2,20,2019,"Financial Year (Apr - Mar), 2019"
33,India,29,Karnataka,548,Tumakuru,5539,Tiptur,2019-20,0.0,0.0,1.0,5.0,1,5,2019,"Financial Year (Apr - Mar), 2019"
